name,state,population,lat,lon,pleasant
new york,ny,8550405,40.664274,-73.9385,0
los angeles,ca,3971883,34.019394,-118.410825,0.1863013698630137
chicago,il,2720546,41.837551,-87.681844,0
houston,tx,2296224,29.780472,-95.386342,0
philadelphia,pa,1567442,40.009376,-75.133346,0.1095890410958904
phoenix,az,1563025,33.572154,-112.090132,0.0547945205479452
san antonio,tx,1469845,29.472403,-98.525142,0.14520547945205478
san diego,ca,1394928,32.8153,-117.134993,0.15616438356164383
dallas,tx,1300092,32.793333,-96.766513,0.1095890410958904
san jose,ca,1026908,37.296739,-121.818909,0.15056818181818182
austin,tx,931830,30.304896,-97.753831,0.136986301369863
jacksonville,fl,868031,30.336864,-81.661603,0.29863013698630136
san francisco,ca,864816,37.727239,-123.032229,0
indianapolis,in,862781,39.776664,-86.145935,0.1178082191780822
columbus,oh,850106,39.983938,-82.984882,0.10136986301369863
fort worth,tx,833319,32.781518,-97.346746,0.09315068493150686
charlotte,nc,827097,35.208707,-80.830739,0.12876712328767123
seattle,wa,684451,47.620499,-122.350876,0
denver,co,682545,39.761842,-104.881222,0
el paso,tx,681124,31.84836,-106.426979,0.12054794520547946
nashville-davidson metropolitan government,tn,678889,36.1718,-86.785002,0.13150684931506848
detroit,mi,677116,42.383037,-83.102237,0.0684931506849315
washington,dc,672228,38.904103,-77.017229,0
boston,ma,667137,42.33196,-71.020173,0
memphis,tn,655770,35.103543,-89.978498,0.1232876712328767
portland,or,632309,45.536951,-122.649971,0.005479452054794521
las vegas,nv,623747,36.229214,-115.260082,0.10684931506849316
baltimore,md,621849,39.300032,-76.610476,0.3041095890410959
milwaukee,wi,600155,43.063348,-87.966695,0
albuquerque,nm,559121,35.105552,-106.647388,0.03287671232876712
tucson,az,531641,32.153695,-110.871064,0.06301369863013699
fresno,ca,520052,36.783603,-119.793445,0.024657534246575342
sacramento,ca,490712,38.566592,-121.468632,0.0027397260273972603
long beach,ca,474140,33.809179,-118.15529,0.18904109589041096
mesa,az,471825,33.401926,-111.717379,0.1
atlanta,ga,463878,33.762909,-84.422675,0.16164383561643836
colorado springs,co,456568,38.867255,-104.760749,0
virginia beach,va,452745,36.779322,-76.024021,0.17534246575342466
raleigh,nc,451066,35.830598,-78.641768,0.14246575342465753
omaha,ne,443885,41.263765,-96.041638,0.07945205479452055
miami,fl,441003,25.775163,-80.208615,0
oakland,ca,419267,37.769846,-122.22569,0
minneapolis,mn,410939,44.963324,-93.26832,0.07397260273972603
tulsa,ok,403505,36.127949,-95.902316,0.07123287671232877
wichita,ks,389965,37.690694,-97.342678,0.07945205479452055
new orleans,la,389617,30.05342,-89.934502,0.2684931506849315
arlington,tx,388125,32.700708,-97.124691,0.09863013698630137
cleveland,oh,388072,41.478462,-81.679435,0.13424657534246576
bakersfield,ca,373640,35.353547,-119.034875,0.07123287671232877
tampa,fl,369075,27.970086,-82.479673,0.37534246575342467
aurora,co,359407,39.688002,-104.68974,0
urban honolulu,hi,352769,21.324347,-157.84764,0
anaheim,ca,350742,33.855497,-117.760071,0.025423728813559324
santa ana,ca,335400,33.736332,-117.882952,0.2054794520547945
corpus christi,tx,324074,27.754252,-97.173385,0.3434065934065934
riverside,ca,322424,33.938143,-117.393168,0.043835616438356165
st. louis,mo,315685,38.635699,-90.244582,0.08767123287671233
stockton,ca,305658,37.976342,-121.313304,0.0027397260273972603
pittsburgh,pa,304391,40.439753,-79.976592,0.10410958904109589
st. paul,mn,300851,44.948901,-93.104063,0.06027397260273973
cincinnati,oh,298550,39.140183,-84.505829,0.09863013698630137
henderson,nv,285667,36.009655,-115.035665,0.06741573033707865
greensboro,nc,285342,36.096483,-79.827108,0.16164383561643836
plano,tx,283558,33.050769,-96.747944,0.1917808219178082
newark,nj,281944,40.72422,-74.172574,0.13150684931506848
toledo,oh,279789,41.664071,-83.581861,0.06301369863013699
lincoln,ne,277348,40.810466,-96.680345,0.038356164383561646
orlando,fl,270934,28.415581,-81.29899,0.2465753424657534
chula vista,ca,265757,32.62767,-117.01517,0.11232876712328767
chandler,az,260828,33.282874,-111.854943,0.06043956043956044
fort wayne,in,260326,41.088173,-85.14388,0.09315068493150686
buffalo,ny,258071,42.892492,-78.859686,0.0684931506849315
durham,nc,257636,35.981149,-78.902925,0.14246575342465753
st. petersburg,fl,257083,27.761976,-82.644055,0.42191780821917807
irvine,ca,256927,33.678399,-117.771254,0.2054794520547945
laredo,tx,255473,27.546953,-99.487506,0.09065934065934066
lubbock,tx,249042,33.566479,-101.886677,0.0684931506849315
madison,wi,248951,43.087815,-89.429856,0.043835616438356165
gilbert,az,247542,33.310345,-111.743121,0.07397260273972603
norfolk,va,246393,36.923015,-76.244641,0.19452054794520549
reno,nv,241445,39.549098,-119.849905,0.0027397260273972603
winston-salem,nc,241218,36.102684,-80.261027,0.18082191780821918
glendale,az,240126,33.533111,-112.189901,0.09340659340659341
hialeah,fl,237069,25.869941,-80.302865,0.3917808219178082
garland,tx,236897,32.909826,-96.630334,0.10773480662983426
scottsdale,az,236839,33.684347,-111.86112,0.0547945205479452
irving,tx,236607,32.857748,-96.970022,0.10136986301369863
chesapeake,va,235429,36.679376,-76.301788,0.1917808219178082
north las vegas,nv,234807,36.282981,-115.089248,0.0958904109589041
fremont,ca,232206,37.494461,-121.94115,0.008310249307479225
baton rouge,la,228590,30.448458,-91.125901,0.1726027397260274
richmond,va,220289,37.531399,-77.476009,0.14246575342465753
san bernardino,ca,216108,34.141553,-117.293557,0.2111111111111111
spokane,wa,213272,47.666935,-117.433322,0
birmingham,al,212461,33.527444,-86.799047,0.17534246575342466
